25	50	29	11	39	9	69	50	8	14	34	72	85	14	43	42	1	3	64	87	86	83	9	55	4	96	54	70	2	9	7	76	97	18	46	43	74	54	61	84	25	18	60	38	8	65	72	21	31	11	70	20	74	45	94	83	58	16	78	15	92	7	5	13	66	67	57	93	91	17	91	5	5	68	69	96	26	96	15	80	91	78	86	61	77	38	18	64	70	21	1	89	39	88	58	22	64	96	49	86	85	92	99	76	43	13	70	7	92	84	15	31	12	68	49	92	52	10	78	57	97	27	75	20	45	85	85	99	22	2	90	5	32	55	20	78	83	62	43	47	6	58	99	49	98	66	87	89	39	88	20	19	85	93	87	64	68	58	2	5	59	4	45	24	50	43	4	60	86	1	90	25	94	27	37	43	3	63	81	61	93	11	67	79	34	40	96	21	16	57	64	89	8	39	34	34	65	58	39	84
9	1	69	14	51	67	12	68	40	5	41	59	32	30	6	78	52	72	52	55	79	89	96	5	2	60	91	96	95	13	54	86	40	16	73	93	9	36	78	9	19	13	70	98	88	81	37	44	61	59	68	26	66	84	38	61	11	49	79	46	49	58	37	50	8	68	37	54	43	72	37	55	94	96	65	10	24	94	51	3	87	98	9	18	68	89	35	3	40	43	51	78	27	34	61	27	71	73	19	99	43	27	82	88	71	35	79	2	46	41	79	49	53	85	22	59	84	70	42	32	88	75	7	67	11	94	18	41	69	35	23	48	57	79	95	71	90	8	82	13	48	16	81	31	3	40	49	92	81	30	22	97	25	12	36	32	57	11	89	35	9	25	85	55	34	94	56	81	10	53	47	76	24	23	79	55	20	48	24	2	63	67	64	11	89	5	99	39	13	67	68	95	94	90	25	20	43	61	3	53
53	11	19	15	95	64	73	44	65	39	77	82	16	84	57	34	20	31	69	93	41	88	37	32	95	24	85	27	99	43	42	44	10	11	98	11	15	18	4	63	92	52	23	54	66	14	93	13	56	14	33	51	41	36	80	13	19	28	9	94	46	26	71	77	42	13	14	72	37	89	7	13	25	86	92	21	24	27	9	53	25	63	63	77	55	23	93	10	64	67	35	61	17	4	90	36	39	26	22	9	8	37	59	81	11	35	96	51	29	63	2	13	19	75	7	65	50	13	78	90	65	73	69	12	64	69	19	99	52	46	37	96	26	91	82	78	22	27	1	46	97	26	62	43	59	64	62	10	92	53	8	10	2	40	49	79	80	20	57	17	62	25	2	92	11	50	90	72	82	36	21	55	82	30	41	69	57	76	30	26	77	98	69	52	36	83	71	33	54	35	59	43	64	31	85	89	81	25	35	87
75	14	43	17	27	35	75	9	21	90	32	35	24	90	22	11	71	74	81	2	89	50	57	5	6	91	16	5	90	15	23	88	82	57	39	54	99	21	60	41	11	79	70	14	35	76	98	88	16	58	46	50	22	98	32	82	95	21	63	89	89	29	49	64	2	2	14	51	23	87	92	64	3	52	86	69	65	10	74	22	61	97	85	66	84	75	25	20	17	79	99	44	15	54	82	14	47	45	46	51	78	94	10	76	31	91	3	46	99	6	7	39	57	95	32	87	26	23	19	81	52	81	89	27	72	73	15	76	2	95	86	29	87	35	93	35	53	83	64	9	73	11	67	66	76	29	91	10	64	12	13	59	55	84	93	2	70	88	83	53	32	65	73	97	36	53	65	13	33	64	10	20	73	1	10	22	5	84	83	78	83	59	92	83	55	29	52	69	50	6	47	29	16	12	28	15	12	99	41	30
92	22	68	88	36	16	72	10	47	15	31	67	59	49	21	11	91	26	22	99	9	35	30	82	95	77	63	17	36	42	16	41	41	46	14	43	23	89	51	65	65	68	52	53	18	72	21	29	73	69	7	72	67	49	64	90	32	88	75	57	38	79	1	84	4	35	2	89	73	30	53	83	53	1	28	82	16	37	70	4	53	4	15	44	45	2	29	54	64	6	45	3	88	86	89	99	23	66	62	24	6	44	87	27	27	57	80	61	53	7	57	99	18	86	88	37	95	80	47	39	99	5	38	26	23	57	81	58	55	10	73	81	44	44	2	40	48	6	76	98	45	10	26	67	42	89	2	5	94	75	73	94	91	64	23	94	51	90	1	96	76	37	15	90	13	60	60	59	40	94	12	92	31	6	39	63	76	60	21	59	85	8	17	78	49	60	26	45	35	78	63	60	88	12	26	35	39	35	70	51
42	42	5	72	73	72	51	15	22	24	93	54	10	92	6	49	32	35	81	55	18	52	82	19	7	69	5	21	77	77	69	86	44	61	62	51	71	18	58	76	67	30	20	3	88	84	41	28	46	57	33	27	2	46	15	42	73	3	84	6	16	72	97	68	70	24	76	47	17	25	2	46	99	2	59	56	59	92	29	38	90	6	75	96	55	56	4	61	72	49	57	13	15	17	98	45	14	88	7	97	99	10	35	35	33	64	59	64	39	82	24	57	73	11	95	53	14	90	30	95	96	78	44	85	38	97	61	33	97	4	27	18	25	98	81	79	36	81	4	17	97	85	14	48	60	92	56	18	13	22	77	31	94	1	9	6	37	65	15	84	45	42	64	38	35	44	67	24	23	45	64	7	39	83	54	48	80	99	54	88	30	55	3	18	67	89	88	62	86	9	43	44	30	78	75	42	19	69	72	34
39	53	7	33	48	46	14	25	54	87	22	57	42	17	44	71	45	75	96	10	56	13	75	46	23	73	77	59	6	54	19	57	17	28	88	30	17	51	98	33	17	95	57	65	38	13	18	85	35	26	35	10	49	48	6	91	45	75	19	38	1	42	83	13	71	56	43	20	24	36	85	39	84	77	20	73	18	70	26	87	3	99	99	67	42	55	22	91	4	73	96	21	11	82	72	81	96	51	68	83	48	12	47	89	28	58	58	34	3	68	52	64	67	36	59	9	24	39	64	81	59	56	17	67	4	43	3	25	34	82	76	68	92	8	78	3	3	59	32	38	75	59	11	75	56	2	23	77	52	21	99	11	49	78	4	31	44	97	42	25	62	8	45	16	42	25	15	31	94	98	26	96	73	44	67	29	30	23	97	8	79	98	70	75	39	34	54	53	57	29	89	72	29	52	1	70	82	34	51	67
11	7	42	67	51	67	8	41	12	75	84	93	98	64	50	73	8	79	37	3	4	9	60	15	82	37	25	68	7	72	33	45	38	17	15	30	93	46	79	9	69	66	8	50	50	62	19	99	22	84	94	27	34	52	63	28	76	93	44	24	15	80	95	10	11	70	43	81	86	31	41	74	95	28	32	13	7	61	13	83	92	30	45	23	75	67	80	83	90	65	55	26	39	21	99	14	38	1	57	96	36	7	87	27	83	97	89	49	24	68	71	87	50	46	96	7	78	97	35	34	15	4	84	60	34	42	75	84	87	6	39	97	63	96	67	2	63	15	56	23	96	18	57	45	63	15	32	83	78	63	81	8	65	95	2	59	94	25	90	55	42	33	69	12	78	5	4	32	48	1	30	63	47	43	35	9	80	3	6	58	93	20	67	19	43	8	56	55	56	4	23	73	42	94	34	94	93	31	62	33
46	43	15	18	4	91	87	23	99	32	90	20	26	69	60	98	23	80	11	12	64	33	26	45	77	90	42	7	95	75	78	79	83	41	94	21	68	83	49	70	83	50	12	84	87	30	35	95	75	31	83	80	90	28	85	76	39	17	8	70	1	94	97	38	88	21	19	12	85	15	67	12	64	81	95	58	86	61	55	39	82	9	70	20	63	11	43	31	82	17	89	57	17	44	35	37	47	82	51	32	43	43	93	81	37	59	9	24	77	57	19	73	92	7	66	18	46	31	46	23	65	80	51	26	98	90	86	16	82	17	74	69	4	5	31	89	25	40	58	13	84	44	54	8	26	20	92	48	98	37	26	94	58	12	41	27	73	34	83	75	55	60	73	19	35	39	16	40	37	92	32	68	19	16	38	95	87	64	50	50	82	92	96	18	50	79	47	53	17	2	84	72	50	59	79	27	4	49	18	91
6	71	83	52	67	4	54	80	13	36	6	83	48	42	88	94	91	1	5	45	26	93	43	21	48	94	73	57	29	70	53	56	91	66	82	69	94	10	28	95	72	7	98	60	85	67	64	42	87	34	49	69	2	6	75	24	66	17	83	38	19	54	97	25	63	61	53	4	41	42	54	7	44	34	59	29	46	34	46	5	89	2	74	9	18	58	98	81	86	23	57	11	48	87	24	99	31	46	85	4	35	89	30	51	15	14	32	94	97	32	56	93	44	40	39	66	54	70	90	75	42	9	9	11	73	93	68	53	55	77	37	67	41	98	87	29	96	12	14	41	76	21	19	42	79	89	22	6	45	70	79	75	32	6	14	37	78	41	19	18	81	67	56	10	53	46	86	10	8	33	46	37	80	62	79	46	36	2	38	81	38	22	73	91	51	82	28	61	23	29	96	90	62	87	96	73	17	27	88	77
